Signature;Name;Title;Position;RiskyMatch;SawyerNo;PASE_ID
"+ Ego Æðelfled . c . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .";"Æðelfled";"None";"2";"FALSE";S 221;;
"+ .";"None";"None";"3";"FALSE";S 221;;
"Ego Burhred rex Merciorum hanc libertatem præscriptam mea manu consensi et subscripsi .";"Burhred";"Sovereign";"1";"FALSE";S 222;;
"Ego Ethelsuuyht regina consensi .";"Ethelsuuyht";"Queen";"2";"FALSE";S 222;;
"Ego Werefrið episcopus consensi .";"Werefrið";"Bishop";"3";"FALSE";S 222;;
"Ego Æþelred dux consensi .";"Æþelred";"Dux";"4";"FALSE";S 222;;
"Ego Alhhelm dux .";"Alhhelm";"Dux";"5";"FALSE";S 222;;
"Ego Eadnoð dux consensi .";"Eadnoð";"Dux";"6";"FALSE";S 222;;
"Ego Ælfred dux .";"Ælfred";"Dux";"7";"FALSE";S 222;;
"Ego Uulfsige minister .";"Uulfsige";"Minister";"8";"FALSE";S 222;;
"Ego Wifrið minister .";"Wifrið";"Minister";"9";"FALSE";S 222;;
"Æþelræd";"Æþelræd";"None";"1";"FALSE";S 223;;
"Æþelfiæd";"Æþelfiæd";"None";"2";"FALSE";S 223;;
"Æðelræd";"Æðelræd";"None";"3";"FALSE";S 223;;
"Æðelflæd";"Æðelflæd";"None";"4";"FALSE";S 223;;
"+ Ego Ælfled hanc meam donacionem signaculo sancte crucis confirmo .";"Ælfled";"None";"1";"FALSE";S 224;;
"+ Ego Eadferdus episcopus consensi et conscribsi .";"Eadferdus";"Bishop";"2";"FALSE";S 224;;
"+ Ego Werferdus episcopus consensi et subscripsi .";"Werferdus";"Bishop";"3";"FALSE";S 224;;
"+ Ego Æþelfled hanc meam licentiam confirmo signaculo sancte crucis.";"Æþelfled";"None";"1";"FALSE";S 225;;
"+ Ego Ælfwyn episcopus consensi et subscripsi.";"Ælfwyn";"Bishop";"2";"FALSE";S 225;;
"+ Ego Ælfwine episcopus consensi et subscripsi.";"Ælfwine";"Bishop";"3";"FALSE";S 225;;
"+ Ego Æþelhun episcopus consensi et subscripsi.";"Æþelhun";"Bishop";"4";"FALSE";S 225;;
"+ Ego Eadgar consensi et subscripsi.";"Eadgar";"None";"5";"FALSE";S 225;;
"+ Ego Ælfred episcopus consensi et subscripsi.";"Ælfred";"Bishop";"6";"FALSE";S 225;;
"+ Ego Æþelferd dux consensi et subscripsi.";"Æþelferd";"Dux";"7";"FALSE";S 225;;
"+ Ego Ælfred dux consensi et subscripsi.";"Ælfred";"Dux";"8";"FALSE";S 225;;
"+ Ego Æþelhun abbas consensi et subscripsi.";"Æþelhun";"Abbot";"9";"FALSE";S 225;;
"+ Ego Ecgberht abbas consensi et subscripsi.";"Ecgberht";"Abbot";"10";"FALSE";S 225;;
"+ Ego Cynað abbas consensi et subscripsi.";"Cynað";"Abbot";"11";"FALSE";S 225;;
"+ Ego Wihtred consensi et subscripsi.";"Wihtred";"None";"12";"FALSE";S 225;;
"+ Ego Berhsige consensi et subscripsi.";"Berhsige";"None";"13";"FALSE";S 225;;
"+ Ego Æþelnaþ consensi et subscripsi.";"Æþelnaþ";"None";"14";"FALSE";S 225;;
"+ Ego Æþelward consensi et subscripsi.";"Æþelward";"None";"15";"FALSE";S 225;;
"+ Ego Ælfstan consensi et subscripsi.";"Ælfstan";"None";"16";"FALSE";S 225;;
"+ Ego Æðelred archiepiscopus cum signo sancte crucis \Christi/ confirmaui .";"Æðelred";"Archbishop";"1";"FALSE";S 321;;
"+ Ego Swiðuulf episcopus consensi et subscripsi .";"Swiðuulf";"Bishop";"2";"FALSE";S 321;;
"+ Ego Æðelwald dux consensi et subscripsi.";"Æðelwald";"Dux";"3";"FALSE";S 321;;
"+ Ego Beornuulf dux consensi et subscripsi .";"Beornuulf";"Dux";"4";"FALSE";S 321;;
"+ Ego Ealhmund miles consensi et subscripsi .";"Ealhmund";"Miles";"5";"FALSE";S 321;;
"+ Ego Beornuulf miles consensi et subscripsi .";"Beornuulf";"Miles";"6";"FALSE";S 321;;
"+ Ego Beorhtuulf miles consensi et subscripsi.";"Beorhtuulf";"Miles";"7";"FALSE";S 321;;
"+ Ego Deoruulf miles consensi et subscripsi .";"Deoruulf";"Miles";"8";"FALSE";S 321;;
"+ Ego Ceolbald miles consensi et subscripsi .";"Ceolbald";"Miles";"9";"FALSE";S 321;;
"+ Ego Ealhhere miles consensi et subscripsi .";"Ealhhere";"Miles";"10";"FALSE";S 321;;
"+ Ego Deoring miles consensi et subscripsi .";"Deoring";"Miles";"11";"FALSE";S 321;;
"+ Ego Beornhelm minister regis consensi et subscripsi .";"Beornhelm";"Minister";"12";"FALSE";S 321;;
"+ Ego Osmund minister regis consensi et subscripsi .";"Osmund";"Minister";"13";"FALSE";S 321;;
"+ Ego Beorhtred minister regis consensi et subscripsi .";"Beorhtred";"Minister";"14";"FALSE";S 321;;
"+ Ego Noðhelm minister regis consensi et subscripsi .";"Noðhelm";"Minister";"15";"FALSE";S 321;;
"Ego Alfredus rex Saxonum hanc meam donationem signo crucis Christi confirmavi.";"Alfredus";"Sovereign";"1";"FALSE";S 342a;;
"Ego [remainder of witness-list in MS in possession of Mr D. Rogers = Phillips MS 4810, p. 33] Edward filius Regis consensi.";"Edward";"Aetheling";"2";"FALSE";S 342a;;
"Ego Ethelward filius Regis consensi.";"Ethelward";"Aetheling";"3";"FALSE";S 342a;;
"Ego Asser Episcopus composui et scribere iussi.";"Asser";"Bishop";"4";"FALSE";S 342a;;
"Ego Ealhferth episcopus subarravi.";"Ealhferth";"Bishop";"5";"FALSE";S 342a;;
"Ego Ethelheah episcopus corroboravi.";"Ethelheah";"Bishop";"6";"FALSE";S 342a;;
"Ego Cuthred cur. confirmavi.";"Cuthred";"unknown";"7";"FALSE";S 342a;;
"Ego Wlfere cur. consolidavi.";"Wlfere";"unknown";"8";"FALSE";S 342a;;
"Ego Eadulf Dux adquievi.";"Eadulf";"Dux";"9";"FALSE";S 342a;;
"Ego Mised minister constitui.";"Mised";"Minister";"10";"FALSE";S 342a;;
"Ego Wlric minister consensi.";"Wlric";"Minister";"11";"FALSE";S 342a;;
"Ego Awlf minister intellexi.";"Awlf";"Minister";"12";"FALSE";S 342a;;
"Ego Ælfred rex hanc meam donationem cum signo sanctæ crucis corroboravi.";"Ælfred";"Sovereign";"1";"FALSE";S 343;;
"+ Ego Ealferd Episcopus. etc.";"Ealferd";"Bishop";"2";"FALSE";S 343;;
"Ego Æðelulf rex occidentalium Saxonum hanc meam muniuicentiam cum signo crucis Christi roborabo et sub’";"Æðelulf";"Sovereign";"1";"FALSE";S 344;;
"Ego Eanuulf dux con\sen/su et sub’";"Eanuulf";"Dux";"2";"FALSE";S 344;;
"Ego Eðeluf dux consen’ et sub’";"Eðeluf";"Dux";"3";"FALSE";S 344;;
"Ego Eðelbæld filius regis consen’ et sub’";"Eðelbæld";"Aetheling";"4";"FALSE";S 344;;
"Ego Uulfheard consen’ et sub’";"Uulfheard";"None";"5";"FALSE";S 344;;
"Ego Æðelric consen’ et sub’";"Æðelric";"None";"6";"FALSE";S 344;;
"Ego Ceolmund consen’ et sub’";"Ceolmund";"None";"7";"FALSE";S 344;;
"Ego Uuerenberht consen’ et sub’";"Uuerenberht";"None";"8";"FALSE";S 344;;
"Ego Lulling consen’ et sub’";"Lulling";"None";"9";"FALSE";S 344;;
"Ego Uulffred consen’ et \s/ub’";"Uulffred";"None";"10";"FALSE";S 344;;
"Ego Eðeluf rex";"Eðeluf";"Sovereign";"11";"FALSE";S 344;;
"Eanulf dux";"Eanulf";"Dux";"12";"FALSE";S 344;;
"Eðeluf dux";"Eðeluf";"Dux";"13";"FALSE";S 344;;
"Eðelbald";"Eðelbald";"None";"14";"FALSE";S 344;;
"Uulfeard";"Uulfeard";"None";"15";"FALSE";S 344;;
"Æðelric";"Æðelric";"None";"16";"FALSE";S 344;;
"Ceolmund";"Ceolmund";"None";"17";"FALSE";S 344;;
"Luling";"Luling";"None";"18";"FALSE";S 344;;
"Ceolnoð archiepiscopus";"Ceolnoð";"Archbishop";"19";"FALSE";S 344;;
"Eðelstan rex";"Eðelstan";"Sovereign";"20";"FALSE";S 344;;
"Eðelulf dux";"Eðelulf";"Dux";"21";"FALSE";S 344;;
"Ealhhere dux";"Ealhhere";"Dux";"22";"FALSE";S 344;;
"Dryhtnoð abba";"Dryhtnoð";"Abbot";"23";"FALSE";S 344;;
"Duduc";"Duduc";"None";"24";"FALSE";S 344;;
"Eðelmod";"Eðelmod";"None";"25";"FALSE";S 344;;
"Eðelric";"Eðelric";"None";"26";"FALSE";S 344;;
"Eðelred";"Eðelred";"None";"27";"FALSE";S 344;;
"Eðelhere";"Eðelhere";"None";"28";"FALSE";S 344;;
"Osmund";"Osmund";"None";"29";"FALSE";S 344;;
"Eðered";"Eðered";"None";"30";"FALSE";S 344;;
"Gilsheard";"Gilsheard";"None";"31";"FALSE";S 344;;
"Eadberht";"Eadberht";"None";"32";"FALSE";S 344;;
"Dudda";"Dudda";"None";"33";"FALSE";S 344;;
"Ealhhun";"Ealhhun";"None";"34";"FALSE";S 344;;
"Cyneberht";"Cyneberht";"None";"35";"FALSE";S 344;;
"Leafa gebohte æt Æðere archiepiscopo ⁊ æt his hiawum ðe to Cristes cirican herað ðis gewrit ⁊ ðis land mið ðy friadome ðe hit hær gefriad wæs to Cris to Crtes \cirican/ on ec erfe.";"Leafa";"None";"36";"FALSE";S 344;;
"Ego Ælfred gratia Dei Saxonum rex propriæ donationi signum crucis confirmavi";"Ælfred";"Sovereign";"1";"FALSE";S 345;;
"Ego Æþered archiepiscopus manum adpono";"Æþered";"Archbishop";"2";"FALSE";S 345;;
"Ego Denewulf episcopus huic donationi consentiens subscribo";"Denewulf";"Bishop";"3";"FALSE";S 345;;
"Ego Æþelnod Dux";"Æþelnod";"Dux";"4";"FALSE";S 345;;
"Ego Wlfred Dux";"Wlfred";"Dux";"5";"FALSE";S 345;;
"Ego Orddulf Dux";"Orddulf";"Dux";"6";"FALSE";S 345;;
"Ego Bucca Dux";"Bucca";"Dux";"7";"FALSE";S 345;;
"Ego Æðelwald Dux";"Æðelwald";"Dux";"8";"FALSE";S 345;;
"Ego Wullaf Dux";"Wullaf";"Dux";"9";"FALSE";S 345;;
"Ego Garulf Dux";"Garulf";"Dux";"10";"FALSE";S 345;;
"Ego Byrhtnod Dux";"Byrhtnod";"Dux";"11";"FALSE";S 345;;
"Ego Osric minister";"Osric";"Minister";"12";"FALSE";S 345;;
"Ego Eggwulf minister";"Eggwulf";"Minister";"13";"FALSE";S 345;;
"Ego Æðelm minister";"Æðelm";"Minister";"14";"FALSE";S 345;;
"Ego Witbrord minister";"Witbrord";"Minister";"15";"FALSE";S 345;;
"Ego Deormod minister";"Deormod";"Minister";"16";"FALSE";S 345;;
"Ego Acca minister";"Acca";"Minister";"17";"FALSE";S 345;;
"Ego Ælfhere minister";"Ælfhere";"Minister";"18";"FALSE";S 345;;
"Ego Wullaf minister";"Wullaf";"Minister";"19";"FALSE";S 345;;
"Ego Babba minister";"Babba";"Minister";"20";"FALSE";S 345;;
"Ego Ealdwulf minister";"Ealdwulf";"Minister";"21";"FALSE";S 345;;
"Ego Æþelstan minister";"Æþelstan";"Minister";"22";"FALSE";S 345;;
"Ego Tata minister";"Tata";"Minister";"23";"FALSE";S 345;;
"Ego Burlaf minister";"Burlaf";"Minister";"24";"FALSE";S 345;;
"Ego Æffa minister";"Æffa";"Minister";"25";"FALSE";S 345;;
"+ Ego Ælfred rex Anglorum et Saxonum hanc donationem confirmans signo crucis subscribo .";"Ælfred";"Sovereign";"1";"FALSE";S 346;;
"+ Ego Æþelred subregulus et patricius Merciorum hanc donationem . signo crucis subscripsi .";"Æþelred";"unknown";"2";"FALSE";S 346;;
"+ Ego Æþelflæd . consensi .";"Æþelflæd";"None";"3";"FALSE";S 346;;
"+ Ego Uulfred . episcopus consensi .";"Uulfred";"Bishop";"4";"FALSE";S 346;;
"+ Ego Alhard . episcopus consensi .";"Alhard";"Bishop";"5";"FALSE";S 346;;
"+ Ego Uuærfrid . episcopus . consensi .";"Uuærfrid";"Bishop";"6";"FALSE";S 346;;
"+ Ego Deneuulf . episcopus consensi .";"Deneuulf";"Bishop";"7";"FALSE";S 346;;
"+ Ego Uulfsige . episcopus consensi .";"Uulfsige";"Bishop";"8";"FALSE";S 346;;
"+ Aluredus rex subscripsi";"Aluredus";"Sovereign";"1";"FALSE";S 347;;
"+ Berthulphus dux consensi";"Berthulphus";"Dux";"2";"FALSE";S 347;;
"Aelfred rex saxonum";"Aelfred";"Sovereign";"1";"FALSE";S 348;;
"Wulfsige episcopus";"Wulfsige";"Bishop";"2";"FALSE";S 348;;
"Wulred dux";"Wulred";"Dux";"3";"FALSE";S 348;;
"Aeþelred dux";"Aeþelred";"Dux";"4";"FALSE";S 348;;
"Eadweard filius regis";"Eadweard";"Aetheling";"5";"FALSE";S 348;;
"Johannes presbyter";"Johannes";"Priest";"6";"FALSE";S 348;;
"Wærulf presbyter";"Wærulf";"Priest";"7";"FALSE";S 348;;
"Deormod cellerarius";"Deormod";"unknown";"8";"FALSE";S 348;;
"Aelfric thesaurarius";"Aelfric";"unknown";"9";"FALSE";S 348;;
"Sigewulf pincerna";"Sigewulf";"unknown";"10";"FALSE";S 348;;
"Byrnstan miles";"Byrnstan";"Miles";"11";"FALSE";S 348;;
"Berchtmund miles";"Berchtmund";"Miles";"12";"FALSE";S 348;;
"Wulfsige miles";"Wulfsige";"Miles";"13";"FALSE";S 348;;
"Aeþelm miles";"Aeþelm";"Miles";"14";"FALSE";S 348;;
"Aeðelhelm miles";"Aeðelhelm";"Miles";"15";"FALSE";S 348;;
"Owald miles";"Owald";"Miles";"16";"FALSE";S 348;;
"Vchferð miles";"Vchferð";"Miles";"17";"FALSE";S 348;;
"Ocea miles";"Ocea";"Miles";"18";"FALSE";S 348;;
"Byrhthelm miles";"Byrhthelm";"Miles";"19";"FALSE";S 348;;
"Et ego Plegmundus archiepiscopus Dorobernensis consencio æt subscribo .";"Plegmundus";"Archbishop";"1";"FALSE";S 349;;
"Et ego Ethelbaldus archiepiscopus Eboracensis consencio æt subscribo .";"Ethelbaldus";"Archbishop";"2";"FALSE";S 349;;
"Ego Ethelstanus Herfordensis antistes . consencio et subscribo .";"Ethelstanus";"unknown";"3";"FALSE";S 349;;
"Ego Werbertus Lagaces[trensis episcopus] consencio æt subscribo .";"Werbertus";"Bishop";"4";"FALSE";S 349;;
"Ego Tynebertus Lichefeldensis episcopus consencio æt subscribo .";"Tynebertus";"Bishop";"5";"FALSE";S 349;;
"Ego Herefredus Wygorniensis Minister consencio æt signum sancte crucis appono .";"Herefredus";"Minister";"6";"FALSE";S 349;;
"Ego Elfstanus Londoniensis episcopus signum crucis appono .";"Elfstanus";"Bishop";"7";"FALSE";S 349;;
"Ego Denewuolfus Wentanæ urbis episcopus assencio æt conscribo .";"Denewuolfus";"Bishop";"8";"FALSE";S 349;;
"Ego Eylmerus Cicestrensis minister assensum prebeo æt suscribo .";"Eylmerus";"Minister";"9";"FALSE";S 349;;
"Ego Eaddredus Norwuycensis minister consencio æt signum crucis appono .";"Eaddredus";"Minister";"10";"FALSE";S 349;;
"Ego Haroldus Dorkcestrensis minister consencio æt subscribo .";"Haroldus";"Minister";"11";"FALSE";S 349;;
"Ego Grymbaldus sacerdos ad honorem Dei consencio . æt signum crucis appono .";"Grymbaldus";"Priest";"12";"FALSE";S 349;;
"Ego Johannes abbas signum crucis appono .";"Johannes";"Abbot";"13";"FALSE";S 349;;
"Ego Eaddredus comes consencio æt subscribo .";"Eaddredus";"Comes";"14";"FALSE";S 349;;
"Ego Etheldredus Ganniorum dux subscribo .";"Etheldredus";"Dux";"15";"FALSE";S 349;;
"Ego Ælwytha regina . consencio æt subscribo .";"Ælwytha";"Queen";"16";"FALSE";S 349;;
"Ego Etheldredus dux Merciorum consencio æt subscribo .";"Etheldredus";"Dux";"17";"FALSE";S 349;;
"+ Ego Ælfred rex Saxonum hanc meum donationem signo sancte crucis confirmo";"Ælfred";"Sovereign";"1";"FALSE";S 350;;
"+ Eadweard rex . hanc regis donationem stabilito.";"Eadweard";"Sovereign";"2";"FALSE";S 350;;
"+ Ordlaf dux.";"Ordlaf";"Dux";"3";"FALSE";S 350;;
"+ Sigulf dux.";"Sigulf";"Dux";"4";"FALSE";S 350;;
"+ Wullaf dux.";"Wullaf";"Dux";"5";"FALSE";S 350;;
"+ Beorhtsige minister";"Beorhtsige";"Minister";"6";"FALSE";S 350;;
"+ Osferð minister";"Osferð";"Minister";"7";"FALSE";S 350;;
"+ Wulfhere minister";"Wulfhere";"Minister";"8";"FALSE";S 350;;
"+ Eadweald minister";"Eadweald";"Minister";"9";"FALSE";S 350;;
"+ Æðelstan sacerdos";"Æðelstan";"Priest";"10";"FALSE";S 350;;
"+ Cuðulf minister";"Cuðulf";"Minister";"11";"FALSE";S 350;;
"+ Ecgferð minister";"Ecgferð";"Minister";"12";"FALSE";S 350;;
"+ Eadhelm minister";"Eadhelm";"Minister";"13";"FALSE";S 350;;
"Ego Ælfred Rex tocius Bryttanniæ prefatam donationem cum sigillo sanctæ crucis confirmavi";"Ælfred";"Sovereign";"1";"FALSE";S 351;;
"Ego Eadweard filius regis";"Eadweard";"Aetheling";"2";"FALSE";S 351;;
"Ego Æðered archiepiscopus predictum donum consensi";"Æðered";"Archbishop";"3";"FALSE";S 351;;
"Ego Swithun episcopus consensi";"Swithun";"Bishop";"4";"FALSE";S 351;;
"Ego Ealstanus episcopus confirmavi";"Ealstanus";"Bishop";"5";"FALSE";S 351;;
"Ego Fryðestan episcopus consignavi";"Fryðestan";"Bishop";"6";"FALSE";S 351;;
"Ego Aþelwold episcopus consensi";"Aþelwold";"Bishop";"7";"FALSE";S 351;;
"Ego Byrhred episcopus roboravi";"Byrhred";"Bishop";"8";"FALSE";S 351;;
"Ego Wullaf abbas confirmavi";"Wullaf";"Abbot";"9";"FALSE";S 351;;
"Ego Eanulf dux";"Eanulf";"Dux";"10";"FALSE";S 351;;
"Ego Aþulf dux";"Aþulf";"Dux";"11";"FALSE";S 351;;
"Ego Æþelnað dux";"Æþelnað";"Dux";"12";"FALSE";S 351;;
"Ego Byocca dux";"Byocca";"Dux";"13";"FALSE";S 351;;
"Ego Æþelwold dux";"Æþelwold";"Dux";"14";"FALSE";S 351;;
"Ego Ceoleah minister";"Ceoleah";"Minister";"15";"FALSE";S 351;;
"Ego Odda minister";"Odda";"Minister";"16";"FALSE";S 351;;
"Ego Ælfstan minister";"Ælfstan";"Minister";"17";"FALSE";S 351;;
"Ego Æþestan minister";"Æþestan";"Minister";"18";"FALSE";S 351;;
"Ego Eadmund minister";"Eadmund";"Minister";"19";"FALSE";S 351;;
"Ego Ælfred minister";"Ælfred";"Minister";"20";"FALSE";S 351;;
"Ego Æsculf minister";"Æsculf";"Minister";"21";"FALSE";S 351;;
"Ego Byrhferð minister";"Byrhferð";"Minister";"22";"FALSE";S 351;;
"Ego Byorhtulf minister";"Byorhtulf";"Minister";"23";"FALSE";S 351;;
"Ego Leofheah minister";"Leofheah";"Minister";"24";"FALSE";S 351;;
"Ego Buga minister";"Buga";"Minister";"25";"FALSE";S 351;;
"Ego Osulf minister";"Osulf";"Minister";"26";"FALSE";S 351;;
"Ego Ælfric minister";"Ælfric";"Minister";"27";"FALSE";S 351;;
"Ego Deormod minister";"Deormod";"Minister";"28";"FALSE";S 351;;
"Ego Byrhthelm minister";"Byrhthelm";"Minister";"29";"FALSE";S 351;;
"Ego Ealhstan minister";"Ealhstan";"Minister";"30";"FALSE";S 351;;
"Ego Hæfa minister";"Hæfa";"Minister";"31";"FALSE";S 351;;
"Ego Alwold minister";"Alwold";"Minister";"32";"FALSE";S 351;;
"Ego Aþulf minister";"Aþulf";"Minister";"33";"FALSE";S 351;;
"Ego Heahnoð minister";"Heahnoð";"Minister";"34";"FALSE";S 351;;
"Ego Ælfredus Rex hanc donationem meam cum signo sanctæ crucis confirmavi .";"Ælfredus";"Sovereign";"1";"FALSE";S 352;;
"Ego Denewulfus episcopus consensi et cum vexillo sancte crucis confirmavi .";"Denewulfus";"Bishop";"2";"FALSE";S 352;;
"Ego Æðelheah episcopus .";"Æðelheah";"Bishop";"3";"FALSE";S 352;;
"Ego Æðelstan presbiter consensi et cum vexillo sancte crucis confirmavi .";"Æðelstan";"Priest";"4";"FALSE";S 352;;
"Ego Aðelnoð Dux conscripsi .";"Aðelnoð";"Dux";"5";"FALSE";S 352;;
"Ego Wulfred Dux conscripsi .";"Wulfred";"Dux";"6";"FALSE";S 352;;
"Ego Ordulf Dux conscripsi .";"Ordulf";"Dux";"7";"FALSE";S 352;;
"Ego Deormod minister conscripsi .";"Deormod";"Minister";"8";"FALSE";S 352;;
"Ego Æðelstan minister conscripsi .";"Æðelstan";"Minister";"9";"FALSE";S 352;;
"Ego Ealmund minister conscripsi .";"Ealmund";"Minister";"10";"FALSE";S 352;;
"Ego Ælfhere minister conscripsi .";"Ælfhere";"Minister";"11";"FALSE";S 352;;
"Ego Æðereð minister conscripsi .";"Æðereð";"Minister";"12";"FALSE";S 352;;
"Ego Ælfred minister conscripsi .";"Ælfred";"Minister";"13";"FALSE";S 352;;
"Ego Æðelstan minister conscripsi .";"Æðelstan";"Minister";"14";"FALSE";S 352;;
"Ego Ælfred rex .";"Ælfred";"Sovereign";"1";"FALSE";S 354;;
"+ Ego Eadweard fR'";"Eadweard";"unknown";"2";"FALSE";S 354;;
"+ Ego Æðelweard fR'";"Æðelweard";"unknown";"3";"FALSE";S 354;;
"+ Ego Orlaf dux .";"Orlaf";"Dux";"4";"FALSE";S 354;;
"+ Ego Vbba minister .";"Vbba";"Minister";"5";"FALSE";S 354;;
"+ Deormod gebohte æt Ælfred cyninge mid fiftigum mancessan arodenes goldes fif hida land on ece yrfe, ælces þinges freoh butan fyrde ⁊ fæstinge weorces on þisum land fæst.";"Deormod";"None";"1";"FALSE";S 355;;
"+ Signum Ælfredi regis.";"Ælfredi";"Sovereign";"2";"FALSE";S 355;;
"+ Signum Edward filii regis.";"Edward";"Aetheling";"3";"FALSE";S 355;;
"+ Signum Wulfric ministri.";"Wulfric";"Minister";"4";"FALSE";S 355;;
"+ Signum Deormod ministri.";"Deormod";"Minister";"5";"FALSE";S 355;;
"+ Signum Ælfreð ministri.";"Ælfreð";"Minister";"6";"FALSE";S 355;;
"+ Signum Sigulf ministri.";"Sigulf";"Minister";"7";"FALSE";S 355;;
"+ Signum Wulfric ministri.";"Wulfric";"Minister";"8";"FALSE";S 355;;
"+ Signum Beormund ministri.";"Beormund";"Minister";"9";"FALSE";S 355;;
"+ Signum Ealhmund ministri.";"Ealhmund";"Minister";"10";"FALSE";S 355;;
"+ Signum Æþelhelm ministri.";"Æþelhelm";"Minister";"11";"FALSE";S 355;;
"+ Ego Ælfred rex.";"Ælfred";"Sovereign";"1";"FALSE";S 356;;
"+ Wlfrig episcopus.";"Wlfrig";"Bishop";"2";"FALSE";S 356;;
"+ Æþelhel<m> dux.";"Æþelhel";"Dux";"3";"FALSE";S 356;;
"+ Æþelnoð dux.";"Æþelnoð";"Dux";"4";"FALSE";S 356;;
"+ Æþelwald filii regis.";"Æþelwald";"Aetheling";"5";"FALSE";S 356;;
"+ Eadward filii regis.";"Eadward";"Aetheling";"6";"FALSE";S 356;;
"+ Beorhnað.";"Beorhnað";"None";"7";"FALSE";S 356;;
"+ Elfhere.";"Elfhere";"None";"8";"FALSE";S 356;;
"+ Deormod.";"Deormod";"None";"9";"FALSE";S 356;;
"+ Beorhthelm.";"Beorhthelm";"None";"10";"FALSE";S 356;;
"+ Ceolu<l>f.";"Ceoluf";"None";"11";"FALSE";S 356;;
"+ Wulfric.";"Wulfric";"None";"12";"FALSE";S 356;;
"+ Werulf.";"Werulf";"None";"13";"FALSE";S 356;;
"+ Ecgulf.";"Ecgulf";"None";"14";"FALSE";S 356;;
