Text,Class,Type
+ Ego Edelred singularis priuilegii ierarchia preditus rex . huius indiculi acumen cum signo sancte crucis sempiterneque uenerande corroboraui et subscripsi + Ego Wulfstan archiepiscopus regie roboram donationis agie triumphale crucis signaculum depinxi + Ego Elfhun Lundonie ciuitatis presul hanc cartulam aliasque duas scilicet at Totanham et at Hatfeld dictitans rege suiusque precipientibus perscribere iussi + Ego Adulf episcopus consensi + Ego Ethelsige episcopus confirmaui + Ego Godwine episcopus adiuui + Ego Elfgar episcopus adquieui + Ego Britwold episcopus + Ego Eadnod episcopus non renui + Ego Elfmer episcopus corroboraui + Ego Eadric dux consensi + Ego Elfric dux consensi + Ego Leofwine dux consensi + Ego Utred dux consensi + Ego Germanus abbas + Ego Leofric abbas + Ego Wulfgar abbas + Ego Elfsige abbas + Ego Britred abbas + Ego Elfric abbas + Ego Elfuere abbas + Ego Brithold abbas + Ego Elfwig abbas + Ego Eadric abbas + Ego Bristan abbas + Ego Ethelmer minister + Ego Elfgar minister + Ego Odda minister + Ego Ethelric minister + Ego Elfgar minister + Ego Godric minister + Ego Ethelwine minister + Ego Ulfcitel minister + Ego S[...]elyred minister + Ego Brisige minister + Ego Wulfric minister,WitnessList,
+ Ego Edelred singularis priuilegii ierarchia preditus rex . huius indiculi acumen cum signo sancte crucis sempiterneque uenerande corroboraui et subscripsi,FullSignature,Sovereign
+ Ego Wulfstan archiepiscopus regie roboram donationis agie triumphale crucis signaculum depinxi +,FullSignature,Archbishop
Edelred,Name,
Wulfstan,Name,
+ Ego Elfhun Lundonie ciuitatis presul hanc cartulam aliasque duas scilicet at Totanham et at Hatfeld dictitans rege suiusque precipientibus perscribere iussi +,FullSignature,Archbishop
Elfhun,Name,
Ego Cuthred comes consensi.,FullSignature,Comes
Cuthred,Name,
Ego Seaftuwine consensi.,FullSignature,Comes
Seaftuwine,Name,
Ego Alricus comes consensi. Ego Eadberhtus comes consensi. Ego Sceafthere comes consensi. Ego Westheah comes consensi. Ego Seaftuwine consensi. Ego Cuthred comes consensi. [.............],WitnessList,
Ego Ceolnodus gracia Dei archiepiscopus ad confirmandam huius testimonium carticulam signum sancte crucis exaravi . + Ego Athelwolf rex ad roborandam haunc meam donacionem almi trophei signaculum impressi . + Cum multis aliis .,WitnessList,
Ego Ceolnodus gracia Dei archiepiscopus ad confirmandam huius testimonium carticulam signum sancte crucis exaravi .,FullSignature,Archbishop
Ceolnodus,Name,
+ Ego Athelwolf rex ad roborandam haunc meam donacionem almi trophei signaculum impressi .,FullSignature,Sovereign
Athelwolf,Name,
+ Ego Æþelfled hanc meam licentiam confirmo signaculo sancte crucis. + Ego Ælfwyn episcopus consensi et subscripsi. + Ego Ælfwine episcopus consensi et subscripsi. + Ego Æþelhun episcopus consensi et subscripsi. + Ego Eadgar consensi et subscripsi. + Ego Ælfred episcopus consensi et subscripsi. + Ego Æþelferd dux consensi et subscripsi. + Ego Ælfred dux consensi et subscripsi. + Ego Æþelhun abbas consensi et subscripsi. + Ego Ecgberht abbas consensi et subscripsi. + Ego Cynað abbas consensi et subscripsi. + Ego Wihtred consensi et subscripsi. + Ego Berhsige consensi et subscripsi. + Ego Æþelnaþ consensi et subscripsi. + Ego Æþelward consensi et subscripsi. + Ego Ælfstan consensi et subscripsi.,WitnessList,
+ Ego Æþelfled hanc meam licentiam confirmo signaculo sancte crucis.,FullSignature,Sovereign
Æþelfled,Name,
+ Ego Ælfwyn episcopus consensi et subscripsi.,FullSignature,Bishop
+ Ego Eadgar consensi et subscripsi.,FullSignature,NoTitle
Eadgar,Name,
+ Ego Æþelhun abbas consensi et subscripsi.,FullSignature,Abbot
Æþelhun,Name,
+ Ego Ecgberht abbas consensi et subscripsi.,FullSignature,Abbot
+ Ego Cynað abbas consensi et subscripsi.,FullSignature,Abbot
+ Ego Wihtred consensi et subscripsi.,FullSignature,NoTitle
+ Ego Berhsige consensi et subscripsi.,FullSignature,NoTitle
+ Ego Æþelnaþ consensi et subscripsi.,FullSignature,NoTitle
+ Ego Æþelward consensi et subscripsi.,FullSignature,NoTitle
+ Ego Ælfstan consensi et subscripsi.,FullSignature,NoTitle
Ego Ælfred gratia Dei Saxonum rex propriæ donationi signum crucis confirmavi . Ego Æˇered archiepiscopus manum adpono . Ego Denewulf episcopus huic donationi consentiens subscribo . Ego Æˇelnod Dux . Ego Wlfred Dux . Ego Orddulf Dux . Ego Bucca Dux . Ego Æ∂elwald Dux . Ego Wullaf Dux . Ego Garulf Dux . Ego Byrhtnod Dux . Ego Osric minister . Ego Eggwulf minister . Ego Æ∂elm minister . Ego Witbrord minister . Ego Deormod minister . Ego Acca minister . Ego Ælfhere minister . Ego Wullaf minister . Ego Babba minister . Ego Ealdwulf minister . Ego Æˇelstan minister Ego Tata minister . Ego Burlaf minister . Ego Æffa minister .,WitnessList,
Ego Ælfred gratia Dei Saxonum rex propriæ donationi signum crucis confirmavi .,FullSignature,Sovereign
Ego Æˇered archiepiscopus manum adpono .,FullSignature,Archbishop
Ego Denewulf episcopus huic donationi consentiens subscribo .,FullSignature,Archbishop
Ego Wlfred Dux .,FullSignature,Dux
Ego Orddulf Dux,FullSignature,Dux
Ego Bucca Dux .,FullSignature,Dux
Ego Æ∂elwald Dux .,FullSignature,Dux
Ego Osric minister .,FullSignature,Minister
Ego Eggwulf minister .,FullSignature,Minister
Eggwulf,Name,
Aelfred rex saxonum. Wulfsige episcopus. Wulred dux. Aeˇelred dux. Eadweard filius regis. Johannes presbyter. Wærulf presbyter. Deormod cellerarius. Aelfric thesaurarius. Sigewulf pincerna. Byrnstan miles. Berchtmund miles. Wulfsige miles. Aeˇelm miles. Ae∂elhelm miles. Owald miles. Vchfer∂ miles. Ocea miles. Byrhthelm miles.,WitnessList,
Aelfred rex saxonum.,FullSignature,Sovereign
Eadweard filius regis.,FullSignature,Aetheling
Johannes presbyter.,FullSignature,Priest
Wærulf presbyter.,FullSignature,Priest
Deormod cellerarius.,FullSignature,Staller
Aelfric thesaurarius.,FullSignature,Staller
Sigewulf pincerna.,FullSignature,Staller
Byrnstan miles.,FullSignature,Miles
Berchtmund miles.,FullSignature,Miles
Wulfsige miles.,FullSignature,Miles
Ae∂elhelm miles.,FullSignature,Miles
Owald miles.,FullSignature,Miles
Vchfer∂ miles.,FullSignature,Miles
Et ego Plegmundus archiepiscopus Dorobernensis consencio æt subscribo . +. Et ego Ethelbaldus archiepiscopus Eboracensis consencio æt subscribo . +. Ego Ethelstanus Herfordensis antistes . consencio et subscribo . +. Ego Werbertus Lagaces[trensis episcopus] consencio æt subscribo . +. Ego Tynebertus Lichefeldensis episcopus consencio æt subscribo . +. Ego Herefredus Wygorniensis Minister consencio æt signum sancte crucis appono . +. Ego Elfstanus Londoniensis episcopus signum crucis appono . +. Ego Denewuolfus Wentanæ urbis episcopus assencio æt conscribo . +. Ego Eylmerus Cicestrensis minister assensum prebeo æt suscribo . +. Ego Eaddredus Norwuycensis minister consencio æt signum crucis appono . +. Ego Haroldus Dorkcestrensis minister consencio æt subscribo . +. Ego Grymbaldus sacerdos ad honorem Dei consencio . æt signum crucis appono . +. Ego Johannes abbas signum crucis appono . +. Ego Eaddredus comes consencio æt subscribo . +. Ego Etheldredus Ganniorum dux subscribo . +. Ego Ælwytha regina . consencio æt subscribo . +. Ego Etheldredus dux Merciorum consencio æt subscribo . +.,WitnessList,
Et ego Plegmundus archiepiscopus Dorobernensis consencio æt subscribo . +,FullSignature,Archbishop
 +. Ego Ethelstanus Herfordensis antistes . consencio et subscribo .,FullSignature,Priest
+. Ego Werbertus Lagaces[trensis episcopus] consencio æt subscribo .,FullSignature,Bishop
+. Ego Tynebertus Lichefeldensis episcopus consencio æt subscribo .,FullSignature,Bishop
+. Ego Grymbaldus sacerdos ad honorem Dei consencio . æt signum crucis appono .,FullSignature,Priest
+. Ego Johannes abbas signum crucis appono .,FullSignature,Abbot
+. Ego Eaddredus comes consencio æt subscribo .,FullSignature,Comes
+. Ego Etheldredus Ganniorum dux subscribo .,FullSignature,Dux
+. Ego Ælwytha regina . consencio æt subscribo .,FullSignature,Queen
+. Ego Etheldredus dux Merciorum consencio æt subscribo .,FullSignature,Dux
Ego Denewulf episcopus .,FullSignature,Bishop
Denewulf,Name,
Ego A∂elweard filius regis . ,FullSignature,Aetheling
A∂elweard,Name,
Ego Asser episcopus .,FullSignature,Bishop
Ego Ælfweard filius regis .,FullSignature,Aetheling
Ego Æˇelweard episcopus consensi et subscripsi .,FullSignature,Bishop
Ego Ceolmund episcopus consensi et subscripsi .,FullSignature,Bishop
Ego Wighelm episcopus consensi et subscripsi .,FullSignature,Bishop
Ego Wulfsige episcopus consensi et subscripsi .,FullSignature,Bishop
Ego Fri∂estan . episcopus cum consilio eiusdem regis hoc roboraui atque conexi cum triumpho regis eterni .,FullSignature,Bishop
Ego Plegmund archiepiscopus mellifluam donationem prefati regis subscribsi cum signaculo sancte crucis .,FullSignature,Archbishop
Ego Eadwardus . Rex hanc restaurationem a me renouatam signum sancte crucis propria manu scribendo firmaui .,FullSignature,Sovereign
Ego Eadwardus . Rex hanc restaurationem a me renouatam signum sancte crucis propria manu scribendo firmaui . Ego Plegmund archiepiscopus mellifluam donationem prefati regis subscribsi cum signaculo sancte crucis . Ego Fri∂estan . episcopus cum consilio eiusdem regis hoc roboraui atque conexi cum triumpho regis eterni . Ego Wulfsige episcopus consensi et subscripsi . Ego Wighelm episcopus consensi et subscripsi . Ego Ceolmund episcopus consensi et subscripsi . Ego Æˇelweard episcopus consensi et subscripsi . Ego Æˇelstan filius regis . Ego Ælfweard filius regis . Ego Osfer∂ dux . Ego Ordlaf dux . Ego Beorhtulf dux . Ego Ordgar dux . Ego Heahferd dux . Ego Werulf presbyter . Ego Æˇelstan presbyter . Ego Beornstan presbyter . Ego Ealhstan presbyter . Ego Deormod minister . Ego Withbrord minister . Ego Odda minister . Ego Ælwold minister . Ego Elred minister . Ego A∂ulf minister . Ego Æˇelfer∂ minister . Ego Wulfhear∂ minister . Ego Ælfric minister . Ego Wulfhelm minister . Ego Uffa minister . Ego Ælfstan minister . Ego Ælfred minister . Ego Ælfstan minister . Ego Wulfhere minister . Ego A∂ulf minister . Ego Wulfhun minister . Ego Wullaf minister . Ego Buga minister . Ego Ælfre∂ minister . Ego Æˇelno∂ minister . Ego Wulfric minister .,WitnessList,
"Adlem archiepiscopus. Alla episcopus. Siglem episcopus. Wlflem episcopus. Wlbred episcopus. Berneth episcopus. Eatolw episcopus. Winsige episcopus. Ordgar princeps. Aelwald princeps, et Odda minister regis, et Cened abbas, et Alfeth sacerdos, et alius Alfeth sacerdos et monachus.",WitnessList,
Adlem archiepiscopus.,FullSignature,Archbishop
Alla episcopus.,FullSignature,Bishop
Siglem episcopus.,FullSignature,Bishop
Ordgar princeps.,FullSignature,Princeps
"Aelwald princeps,",FullSignature,Princeps
Odda minister regis,FullSignature,Minister
Cened abbas,FullSignature,Abbot
Alfeth sacerdos,FullSignature,Priest
+ Feologeld presbyter abbas,FullSignature,Priest
+ Æðelnoð,FullSignature,NoTitle
